BiGG Models Name	Rumbact
*Acyl-CoA Hydrolase (C5:0)	0
Hydroxyacylglutathione hydrolase	0
Fructose-bisphosphatase	0
B-galactosidase	0
6-phospho-beta-galactosidase	1
Methenyltetrahydrofolate cyclohydrolase	1
Inorganic diphosphatase	0
Oxaloacetate decarboxylase	0
Phosphoenolpyruvate carboxylase	0
Phosphoenolpyruvate carboxykinase (ATP)	0
Fructose-bisphosphate aldolase	0
Sedoheptulose 1,7-bisphosphate aldolase	1
Phosphoketolase (fructose-6-phosphate utilizing)	0
Deoxyribose-phosphate aldolase	1
Tagatose-bisphosphate aldolase	1
3-hexulose-6-phosphate synthase	0
Phosphoketolase (xylulose-5-phosphate utilizing)	0
Isocitrate lyase	0
Enolase	1
4-hydroxybutanoyl-CoA dehydratase	0
3-hydroxyacyl-CoA dehydratase (3-hydroxyheptanoyl-CoA)	1
3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA)	1
3-hydroxyacyl-CoA dehydratase (3-hydroxyoctanoyl-CoA)	1
Fumarase	0
Aconitate hydratase	0
Lactoyl CoA dehydratase	0
3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA)	1
3-hydroxyacyl-CoA dehydratase (3-hydroxypentanoyl-CoA)	1
Methylglyoxal synthase	1
Lactoylglutathione lyase	0
Lactate racemase	1
Ribulose 5-phosphate 3-epimerase	1
UDPglucose 4-epimerase	1
Aldose 1-epimerase	1
Methylmalonyl-CoA epimerase	0
Triose-phosphate isomerase	1
Galactose-6-phosphate isomerase	1
Arabino-3-hexulose-6-P Isomerase	0
Xylose isomerase	0
Ribose-5-phosphate isomerase	0
Glucose 6 phosphate isomerase	0
Glucose-6-phosphate isomerase	0
Phosphoglycerate mutase	0
Phosphoglucomutase	1
Phosphopentomutase	1
Methylmalonyl-CoA mutase	0
Acetyl-CoA synthetase	0
Succinate Coa ligase ADP forming	0
Formate-tetrahydrofolate ligase	1
Pyruvate carboxylase	0
Acetyl-CoA carboxylase	0
Propionyl-CoA carboxylase	0
*ATP Synthase	0
D-xylose transport via ABC system	0
Hexokinase (D-glucose:ATP)	0
L-lactate dehydrogenase	1
6-phosphogluconolactonase	0
6-phosphogluconate dehydratase	1
2-dehydro-3-deoxy-phosphogluconate aldolase	0
Pyruvate decarboxylase	0
Lactate CoA transferase (acetyl-CoA)	0
Glucose 6-Phosphate Dehydrogenase	0
Phosphoenolpyruvate carboxykinase (GTP)	1
Fumarate Reductase NADH	0
Nucleoside-diphosphate kinase (ATP:GDP)	0
Electron confurcating hydrogenase	0
